date,share_arrived_on_time,share_arrived_less_than_5_minutes_late,number_received_credit,minutes_late_to_receive_credit
2018-05-18,0.885,0.956,3018,15
2018-05-17,0.89,0.97,1089,15
2018-05-16,0.921,0.979,552,15
2018-05-15,0.927,0.981,546,15
2018-05-14,0.89,0.954,6641,15
2018-05-11,0.908,0.971,1035,15
2018-05-10,0.827,0.931,922,15
2018-05-09,0.869,0.954,2263,15
2018-05-08,0.924,0.981,532,15
2018-05-07,0.92,0.981,526,15
2018-05-04,0.922,0.977,621,15
2018-05-03,0.912,0.972,969,15
2018-05-02,0.879,0.952,2239,15
2018-05-01,0.903,0.973,1208,15
2018-04-30,0.919,0.976,400,15
2018-04-27,0.898,0.968,1064,15
2018-04-26,0.924,0.979,532,15
2018-04-25,0.914,0.978,580,15
2018-04-24,0.918,0.982,592,15
2018-04-23,0.876,0.966,1050,15
2018-04-20,0.925,0.981,522,15
2018-04-19,0.917,0.978,455,15
2018-04-18,0.898,0.972,829,15
2018-04-17,0.829,0.906,20634,15
2018-04-16,0.929,0.984,497,15
2018-04-13,0.905,0.973,684,15
2018-04-12,0.887,0.965,1089,15
2018-04-11,0.916,0.981,571,15
2018-04-10,0.917,0.977,942,15
2018-04-09,0.926,0.981,542,15
2018-04-06,0.885,0.965,790,15
2018-04-05,0.847,0.943,7829,15
2018-04-04,0.883,0.967,735,15
2018-04-03,0.911,0.978,611,15
2018-04-02,0.911,0.977,786,15
2018-03-29,0.842,0.928,7092,15
2018-03-28,0.922,0.981,551,15
2018-03-27,0.894,0.973,795,15
2018-03-26,0.916,0.979,465,15
2018-03-23,0.917,0.978,595,15
2018-03-22,0.926,0.982,439,15
2018-03-20,0.921,0.984,529,15
2018-03-19,0.918,0.982,472,15
2018-03-16,0.836,0.946,573,15
2018-03-15,0.895,0.974,616,15
2018-03-14,0.911,0.978,581,15
2018-03-13,0.901,0.976,675,15
2018-03-12,0.894,0.973,695,15
2018-03-09,0.87,0.962,1069,15
2018-03-08,0.879,0.971,840,15
2018-03-07,0.9,0.972,714,15
2018-03-06,0.902,0.976,660,15
2018-03-05,0.908,0.977,681,15
2018-03-01,0.905,0.975,710,15
2018-02-28,0.838,0.92,17098,15
2018-02-27,0.923,0.982,497,15
2018-02-26,0.902,0.974,1419,15
2018-02-23,0.911,0.974,725,15
2018-02-22,0.904,0.974,661,15
2018-02-21,0.889,0.961,3215,15
2018-02-20,0.887,0.968,1088,15
2018-02-16,0.896,0.974,634,15
2018-02-15,0.881,0.964,1093,15
2018-02-14,0.878,0.964,2468,15
2018-02-13,0.916,0.982,588,15
2018-02-12,0.855,0.928,12572,15
2018-02-09,0.934,0.983,537,15
2018-02-08,0.897,0.977,663,15
2018-02-07,0.899,0.971,1255,15
2018-02-06,0.92,0.982,631,15
2018-02-05,0.9,0.969,1350,15
2018-02-02,0.911,0.981,596,15
2018-02-01,0.93,0.996,540,15
2018-01-31,0.893,0.972,1143,15
2018-01-30,0.913,0.978,591,15
2018-01-29,0.902,0.969,1073,15
